MILES	PRICE PER LD
1	$50.00
2	$50.00
3	$50.00
4	$50.00
5	$70.00
6	$70.00
7	$70.00
8	$85.00
9	$95.00
10	$100.00
11	$100.00
12	$110.00
13	$110.00
14	$110.00
15	$110.00
16	$115.00
17	$115.00
18	$120.00
19	$120.00
20	$125.00
21	$125.00
22	$125.00
23	$130.00
24	$135.00
25	$145.00
26	$155.00
27	$155.00
28	$160.00
29	$160.00
30	$170.00
31	$170.00
32	$180.00
33	$180.00
34	$180.00
35	$195.00
36	$195.00
37	$195.00
38	$200.00
39	$200.00
40	$210.00
41	$210.00
42	$215.00
43	$215.00
44	$215.00
45	$220.00
46	$220.00
47	$220.00
48	$230.00
49	$230.00
50	$235.00
51	$240.00
52	$250.00
53	$260.00
54	$260.00
55	$270.00
56	$270.00
57	$275.00
58	$275.00
59	$280.00
60	$280.00
61	$290.00
62	$290.00
63	$295.00
64	$300.00
65	$300.00
66	$300.00
67	$310.00
68	$315.00
69	$320.00
70	$330.00
71	$340.00
72	$350.00
73	$355.00
74	$360.00
75	$365.00
76	$370.00
77	$375.00
78	$380.00
79	$385.00
80	$385.00
81	$390.00
82	$395.00
83	$405.00
84	$410.00
85	$420.00
86	$425.00
87	$430.00
88	$435.00
89	$440.00
90	$495.00
91	$500.50
92	$506.00
93	$511.50
94	$517.00
95	$522.50
96	$528.00
97	$533.50
98	$539.00
99	$544.50
100	$550.00
101	$555.50
102	$561.00
103	$566.50
104	$572.00
105	$577.50
106	$583.00
107	$588.50
108	$594.00
109	$599.50
110	$605.00
111	$610.50
112	$616.00
113	$621.50
114	$627.00
115	$632.50
116	$638.00
117	$643.50
118	$649.00
119	$654.50
120	$660.00
121	$665.50
122	$671.00
123	$676.50
124	$682.00
125	$687.50
126	$693.00
127	$698.50
128	$704.00
129	$709.50
130	$715.00
131	$720.50
132	$726.00
133	$731.50
134	$737.00
135	$742.50
136	$748.00
137	$753.50
138	$759.00
139	$764.50
140	$770.00
141	$775.50
142	$781.00
143	$786.50
144	$792.00
145	$797.50
146	$803.00
147	$808.50
148	$814.00
149	$819.50
150	$825.00
